iter	Passed	Remaining
404	7796	11453
405	7817	11437
406	7838	11420
407	7857	11401
408	7874	11378
409	7895	11362
410	7918	11347
411	7935	11325
412	7953	11304
413	7971	11284
414	7992	11267
415	8012	11247
416	8030	11227
417	8063	11227
418	8086	11212
419	8104	11191
420	8122	11171
421	8142	11152
422	8160	11131
423	8179	11112
424	8199	11092
425	8225	11083
426	8247	11067
427	8268	11050
428	8291	11035
429	8312	11018
430	8330	10998
431	8350	10979
432	8373	10964
433	8396	10950
434	8414	10929
435	8432	10908
436	8452	10888
437	8471	10869
438	8492	10852
439	8511	10832
440	8530	10813
441	8551	10795
442	8570	10776
443	8594	10762
444	8611	10740
445	8628	10718
446	8647	10698
447	8664	10675
448	8681	10654
449	8709	10644
450	8729	10626
451	8746	10604
452	8762	10581
453	8780	10560
454	8797	10537
455	8818	10520
456	8837	10500
457	8859	10484
458	8880	10467
459	8910	10460
460	8932	10443
461	8952	10424
462	8976	10410
463	8998	10394
464	9019	10377
465	9044	10364
466	9079	10362
467	9105	10350
468	9137	10345
469	9174	10346
470	9215	10350
471	9250	10347
472	9279	10338
473	9304	10325
474	9330	10312
475	9359	10302
476	9386	10291
477	9410	10276
478	9434	10261
479	9466	10254
480	9495	10245
481	9536	10249
482	9568	10241
483	9604	10239
484	9632	10228
485	9668	10225
486	9714	10232
487	9739	10218
488	9769	10209
489	9804	10204
490	9833	10194
491	9857	10178
492	9880	10161
493	9903	10144
494	9929	10129
495	9963	10124
496	9990	10110
497	10033	10113
498	10078	10119
499	10177	10177
500	10216	10176
501	10239	10157
502	10258	10136
503	10278	10115
504	10295	10091
505	10309	10065
506	10325	10040
507	10343	10017
508	10357	9991
509	10370	9964
510	10388	9940
511	10405	9917
512	10419	9891
513	10435	9867
514	10451	9842
515	10467	9818
516	10483	9794
517	10499	9769
518	10517	9746
519	10532	9721
520	10550	9699
521	10567	9676
522	10584	9653
523	10604	9632
524	10620	9609
525	10638	9586
526	10658	9566
527	10675	9543
528	10691	9519
529	10706	9494
530	10722	9470
531	10737	9446
532	10752	9421
533	10766	9395
534	10786	9374
535	10802	9351
536	10817	9327
537	10834	9303
538	10851	9280
539	10869	9259
540	10893	9242
541	10909	9218
542	10925	9195
543	10942	9172
544	10959	9149
545	10975	9125
546	10992	9103
547	11008	9080
548	11026	9058
549	11043	9035
550	11060	9012
551	11075	8988
552	11090	8964
553	11106	8941
554	11124	8919
555	11142	8897
556	11160	8876
557	11176	8853
558	11192	8829
559	11210	8808
560	11230	8788
561	11257	8773
562	11280	8755
563	11301	8736
564	11332	8724
565	11355	8707
566	11379	8690
567	11401	8671
568	11418	8649
569	11435	8626
570	11450	8602
571	11466	8579
572	11483	8557
573	11504	8537
574	11520	8514
575	11537	8492
576	11555	8471
577	11570	8447
578	11586	8425
579	11603	8402
580	11617	8378
581	11631	8353
582	11651	8333
583	11667	8311
584	11682	8287
585	11698	8265
586	11716	8243
587	11733	8221
588	11752	8200
589	11771	8180
590	11787	8157
591	11805	8136
592	11823	8115
593	11841	8093
594	11858	8071
595	11873	8048
596	11892	8027
597	11907	8004
598	11926	7984
599	11944	7962
600	11961	7940
601	11977	7918
602	11992	7895
603	12011	7874
604	12025	7851
605	12039	7827
606	12053	7803
607	12072	7783
608	12086	7760
609	12104	7739
610	12119	7716
611	12134	7693
612	12150	7670
613	12165	7648
614	12181	7625
615	12196	7602
616	12211	7580
617	12228	7558
618	12247	7538
619	12262	7515
620	12280	7494
621	12296	7472
622	12312	7450
623	12326	7427
624	12341	7404
625	12357	7382
626	12374	7361
627	12389	7338
628	12403	7316
629	12425	7297
630	12452	7282
631	12476	7264
632	12499	7247
633	12516	7225
634	12536	7206
635	12557	7186
636	12574	7165
637	12595	7146
638	12613	7125
639	12630	7104
640	12648	7083
641	12670	7065
642	12692	7046
643	12720	7031
644	12743	7013
645	12766	6995
646	12786	6976
647	12805	6956
648	12827	6937
649	12846	6917
650	12867	6898
651	12889	6879
652	12909	6860
653	12928	6840
654	12951	6821
655	12969	6801
656	12997	6785
657	13018	6766
658	13039	6747
659	13058	6726
660	13079	6708
661	13097	6687
662	13114	6665
663	13134	6646
664	13153	6626
665	13171	6605
666	13188	6584
667	13211	6566
668	13232	6546
669	13251	6527
670	13272	6507
671	13294	6488
672	13311	6468
673	13332	6448
674	13352	6429
675	13371	6408
676	13390	6388
677	13411	6369
678	13432	6350
679	13461	6334
680	13480	6314
681	13496	6292
682	13515	6272
683	13536	6253
684	13555	6233
685	13584	6218
686	13625	6207
687	13656	6193
688	13683	6176
689	13707	6158
690	13730	6140
691	13760	6124
692	13797	6112
693	13831	6098
694	13866	6085
695	13906	6073
696	13944	6061
697	13990	6053
698	14026	6039
699	14056	6024
700	14094	6011
701	14125	5996
702	14154	5979
703	14178	5961
704	14206	5944
705	14241	5930
706	14277	5917
707	14301	5898
708	14328	5880
709	14356	5864
710	14391	5849
711	14416	5831
712	14445	5814
713	14469	5795
714	14495	5777
715	14524	5761
716	14546	5741
717	14570	5722
718	14594	5703
719	14622	5686
720	14649	5668
721	14676	5651
722	14697	5630
723	14724	5613
724	14743	5592
725	14765	5572
726	14785	5552
727	14808	5532
728	14830	5513
729	14852	5493
730	14874	5473
731	14897	5454
732	14913	5432
733	14930	5410
734	14951	5390
735	14971	5370
736	14992	5349
737	15011	5329
738	15030	5308
739	15053	5289
740	15076	5269
741	15101	5250
742	15121	5230
743	15140	5209
744	15159	5188
745	15186	5170
746	15205	5150
747	15229	5130
748	15250	5110
749	15267	5089
750	15288	5069
751	15305	5047
752	15323	5026
753	15342	5005
754	15361	4985
755	15382	4964
756	15411	4947
757	15434	4927
758	15455	4907
759	15471	4885
760	15493	4866
761	15513	4845
762	15533	4824
763	15552	4804
764	15571	4783
765	15592	4763
766	15613	4743
767	15634	4722
768	15658	4703
769	15678	4683
770	15698	4662
771	15717	4641
772	15737	4621
773	15760	4601
774	15780	4581
775	15803	4561
776	15825	4542
777	15846	4521
778	15863	4500
779	15890	4481
780	15910	4461
781	15932	4441
782	15960	4423
783	15983	4403
784	16005	4383
785	16025	4363
786	16046	4343
787	16070	4323
788	16092	4303
789	16112	4282
790	16131	4262
791	16147	4240
792	16175	4222
793	16200	4203
794	16223	4183
795	16244	4163
796	16266	4143
797	16286	4122
798	16309	4102
799	16328	4082
800	16349	4061
801	16371	4041
802	16391	4021
803	16409	4000
804	16428	3979
805	16452	3960
806	16475	3940
807	16497	3920
808	16549	3907
809	16574	3887
810	16597	3868
811	16619	3847
812	16639	3827
813	16672	3809
814	16694	3789
815	16716	3769
816	16735	3748
817	16766	3730
818	16788	3710
819	16808	3689
820	16825	3668
821	16845	3647
822	16863	3626
823	16879	3605
824	16898	3584
825	16916	3563
826	16935	3542
827	16952	3521
828	16968	3500
829	16986	3479
830	17003	3458
831	17019	3436
832	17041	3416
833	17059	3395
834	17081	3375
835	17099	3354
836	17116	3333
837	17135	3312
838	17154	3291
839	17173	3271
840	17192	3250
841	17211	3229
842	17228	3208
843	17246	3187
844	17264	3166
845	17281	3145
846	17299	3124
847	17314	3103
848	17333	3082
849	17350	3061
850	17369	3041
851	17386	3020
852	17405	2999
853	17421	2978
854	17439	2957
855	17457	2936
856	17476	2916
857	17493	2895
858	17510	2874
859	17530	2853
860	17548	2833
861	17565	2812
862	17583	2791
863	17602	2770
864	17619	2749
865	17636	2728
866	17656	2708
867	17672	2687
868	17690	2666
869	17707	2645
870	17726	2625
871	17744	2604
872	17765	2584
873	17784	2563
874	17802	2543
875	17818	2522
876	17834	2501
877	17854	2480
878	17871	2460
879	17891	2439
880	17908	2418
881	17926	2398
882	17944	2377
883	17962	2357
884	17977	2336
885	17997	2315
886	18016	2295
887	18035	2274
888	18054	2254
889	18074	2233
890	18089	2213
891	18108	2192
892	18125	2171
893	18141	2151
894	18162	2130
895	18182	2110
896	18200	2089
897	18219	2069
898	18236	2048
899	18252	2028
900	18270	2007
901	18288	1986
902	18305	1966
903	18325	1946
904	18341	1925
905	18360	1904
906	18378	1884
907	18395	1863
908	18416	1843
909	18436	1823
910	18456	1803
911	18473	1782
912	18493	1762
913	18512	1741
914	18530	1721
915	18549	1701
916	18567	1680
917	18583	1659
918	18602	1639
919	18620	1619
920	18639	1598
921	18657	1578
922	18672	1557
923	18689	1537
924	18709	1516
925	18727	1496
926	18746	1476
927	18766	1456
928	18784	1435
929	18803	1415
930	18821	1394
931	18841	1374
932	18859	1354
933	18880	1334
934	18900	1313
935	18919	1293
936	18936	1273
937	18954	1252
938	18972	1232
939	18996	1212
940	19016	1192
941	19037	1172
942	19056	1151
943	19076	1131
944	19094	1111
945	19112	1090
946	19138	1071
947	19158	1050
948	19176	1030
949	19193	1010
950	19210	989
951	19230	969
952	19250	949
953	19267	929
954	19286	908
955	19305	888
956	19326	868
957	19344	848
958	19364	827
959	19379	807
960	19405	787
961	19423	767
962	19443	747
963	19462	726
964	19487	706
965	19512	686
966	19535	666
967	19579	647
968	19600	627
969	19623	606
970	19663	587
971	19695	567
972	19716	547
973	19738	526
974	19765	506
975	19791	486
976	19811	466
977	19860	446
978	19893	426
979	19917	406
980	19943	386
981	19967	366
982	19992	345
983	20015	325
984	20037	305
985	20058	284
986	20079	264
987	20102	244
988	20125	223
989	20160	203
990	20183	183
991	20206	162
992	20226	142
993	20249	122
994	20270	101
995	20297	81
996	20321	61
997	20354	40
998	20377	20
999	20403	0
